,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
29,29,Construction tractors,9895536359.50878,EO22,0.16330,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.19302,0.22130,0.21225,1.00000,1.00000,1.00000
30,30,Other agricultural machinery,46750113837.50497,EO30,0.11790,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.14762,0.17590,0.16685,1.00000,1.00000,1.00000
31,31,Other construction machinery,123582273309.20981,EO40,0.15500,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18472,0.21300,0.20395,1.00000,1.00000,1.00000
32,32,Mining and oilfield machinery,84858812350.85155,EO50,0.15000,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Other Industrial Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.17972,0.20800,0.19895,1.00000,1.00000,1.00000
33,33,Steam engines,91645013950.24467,EI21,0.05160,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.08132,0.10960,0.10055,1.00000,1.00000,1.00000
34,34,Internal combustion engines,12363020746.35256,EI22,0.20630,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.23602,0.26430,0.25525,1.00000,1.00000,1.00000
35,35,Light trucks (including utility vehicles),167619978536.64954,ET11,0.17250,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.20222,0.23050,0.22145,1.00000,1.00000,1.00000
36,36,"Other trucks, buses and truck trailers",119548128283.44501,ET12,0.17250,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.20222,0.23050,0.22145,1.00000,1.00000,1.00000
37,37,Autos,136239832218.22234,ET20,0.33330,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.36302,0.39130,0.38225,1.00000,1.00000,1.00000
38,38,Aircraft,265994401126.70795,ET30,0.08590,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.11562,0.14390,0.13485,1.00000,1.00000,1.00000
39,39,Ships and boats,62839620240.34708,ET40,0.06110,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.09082,0.11910,0.11005,1.00000,1.00000,1.00000
40,40,Railroad equipment,109045484546.04863,ET50,0.05890,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Transportation Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.08862,0.11690,0.10785,1.00000,1.00000,1.00000
41,41,Theatrical movies,157833245541.22495,AE10,0.09300,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.12272,0.15100,0.14195,1.00000,1.00000,1.00000
42,42,Long-lived television programs,144610873939.53967,AE20,0.16800,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.19772,0.22600,0.21695,1.00000,1.00000,1.00000
43,43,Books,67646468506.09869,AE30,0.12100,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.15072,0.17900,0.16995,1.00000,1.00000,1.00000
44,44,Music,15406510045.76745,AE40,0.26700,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.29672,0.32500,0.31595,1.00000,1.00000,1.00000
45,45,Other entertainment originals,15413496806.38999,AE50,0.10900,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.13872,0.16700,0.15795,1.00000,1.00000,1.00000
46,46,Own account software,198787829234.10889,ENS3,0.33000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.35972,0.38800,0.37895,1.00000,1.00000,1.00000
47,47,Pharmaceutical and medicine manufacturing,396355589473.99658,RD11,0.10000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.12972,0.15800,0.14895,1.00000,1.00000,1.00000
48,48,"Chemical manufacturing, ex. pharma and med",54399224281.00928,RD12,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
49,49,Computers and peripheral equipment manufacturing,9567048384.83953,RD21,0.40000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.42972,0.45800,0.44895,1.00000,1.00000,1.00000
50,50,Communications equipment manufacturing,38393784818.88548,RD22,0.27000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.29972,0.32800,0.31895,1.00000,1.00000,1.00000
51,51,Semiconductor and other component manufacturing,83580996525.44339,RD23,0.25000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.27972,0.30800,0.29895,1.00000,1.00000,1.00000
52,52,Navigational and other instruments manufacturing,30814085765.72150,RD24,0.29000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.31972,0.34800,0.33895,1.00000,1.00000,1.00000
53,53,"Other computer and electronic manufacturing, n.e.c.",1636224416.37729,RD25,0.40000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.42972,0.45800,0.44895,1.00000,1.00000,1.00000
54,54,Motor vehicles and parts manufacturing,39313793397.64573,RD31,0.31000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.33972,0.36800,0.35895,1.00000,1.00000,1.00000
55,55,Aerospace products and parts manufacturing,33211530576.08377,RD32,0.22000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.24972,0.27800,0.26895,1.00000,1.00000,1.00000
56,56,Software publishers,20657269549.42317,RD40,0.22000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.24972,0.27800,0.26895,1.00000,1.00000,1.00000
57,57,Financial and real estate services,6097212063.69451,RD50,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
58,58,Computer systems design and related services,6318822870.45265,RD60,0.36000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.38972,0.41800,0.40895,1.00000,1.00000,1.00000
59,59,Scientific research and development services,22814623102.50269,RD70,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
60,60,"All other nonmanufacturing, n.e.c.",86239268420.53497,RD80,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
61,61,Private universities and colleges,8714364638.50274,RD91,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
62,62,Other nonprofit institutions,36718605375.43617,RD92,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
63,63,Other manufacturing,207322515562.10355,RDOM,0.16000,0.10739,0.14910,0.13575,Intellectual Property,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Intellectual Property,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.18972,0.21800,0.20895,1.00000,1.00000,1.00000
64,64,Inventories,1540550422356.87988,INV,0.00000,0.15079,0.22150,0.19891,Inventories,-0.08094,0.24012,0.17583,0.22411,0.32714,0.30657,Inventories,0.04071,0.07633,0.06494,corporate,0.00912,0.02497,0.01991,0.04071,0.07633,0.06494,0.00000,0.00000,0.00000
