,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
32,Mining and oilfield machinery,0.00000,EO50,0.00000,0.10057,0.13236,0.12197,Equipment,-0.16383,0.14883,0.10582,-0.12467,0.13275,0.09028,Other Industrial Equipment,-0.00401,0.01014,0.00555,corporate,-0.00401,0.01014,0.00555,-0.00401,0.01014,0.00555,-0.05746,-0.09055,-0.08040
33,Steam engines,0.00000,EI21,0.00000,0.10016,0.13489,0.12340,Equipment,-0.16967,0.15843,0.11334,-0.12911,0.14132,0.09669,Transportation Equipment,-0.00413,0.01092,0.00599,corporate,-0.00413,0.01092,0.00599,-0.00413,0.01092,0.00599,-0.12535,-0.18502,-0.16763
34,Internal combustion engines,0.00000,EI22,0.00000,0.10624,0.14128,0.12989,Equipment,-0.08805,0.18179,0.14609,-0.06700,0.16215,0.12463,Transportation Equipment,-0.00226,0.01289,0.00798,corporate,-0.00226,0.01289,0.00798,-0.00226,0.01289,0.00798,-0.05746,-0.09055,-0.08040
35,Light trucks (including utility vehicles),0.00000,ET11,0.00000,0.09746,0.12663,0.11710,Equipment,-0.20902,0.12621,0.07933,-0.15906,0.11258,0.06768,Transportation Equipment,-0.00497,0.00838,0.00405,corporate,-0.00497,0.00838,0.00405,-0.00497,0.00838,0.00405,-0.04214,-0.06750,-0.05963
36,"Other trucks, buses and truck trailers",0.00000,ET12,0.00000,0.09746,0.12663,0.11710,Equipment,-0.20902,0.12621,0.07933,-0.15906,0.11258,0.06768,Transportation Equipment,-0.00497,0.00838,0.00405,corporate,-0.00497,0.00838,0.00405,-0.00497,0.00838,0.00405,-0.04214,-0.06750,-0.05963
37,Autos,0.00000,ET20,0.00000,0.10931,0.14562,0.13388,Equipment,-0.04990,0.19692,0.16516,-0.03797,0.17565,0.14090,Transportation Equipment,-0.00132,0.01422,0.00921,corporate,-0.00132,0.01422,0.00921,-0.00132,0.01422,0.00921,-0.04214,-0.06750,-0.05963
38,Aircraft,0.00000,ET30,0.00000,0.09107,0.11640,0.10806,Equipment,-0.31034,0.08272,0.02615,-0.23615,0.07378,0.02231,Transportation Equipment,-0.00693,0.00523,0.00127,corporate,-0.00693,0.00523,0.00127,-0.00693,0.00523,0.00127,-0.04214,-0.06750,-0.05963
39,Ships and boats,0.00000,ET40,0.00000,0.09500,0.12474,0.11489,Equipment,-0.24657,0.11850,0.06683,-0.18763,0.10570,0.05701,Transportation Equipment,-0.00572,0.00780,0.00337,corporate,-0.00572,0.00780,0.00337,-0.00572,0.00780,0.00337,-0.07897,-0.12158,-0.10874
40,Railroad equipment,0.00000,ET50,0.00000,0.09141,0.11792,0.10915,Equipment,-0.30455,0.08948,0.03284,-0.23174,0.07981,0.02801,Transportation Equipment,-0.00683,0.00570,0.00160,corporate,-0.00683,0.00570,0.00160,-0.00683,0.00570,0.00160,-0.05746,-0.09055,-0.08040
41,Theatrical movies,0.00000,AE10,0.00000,0.10733,0.15015,0.13645,Intellectual Property,-0.07425,0.21212,0.17702,-0.05650,0.18921,0.15102,Intellectual Property,-0.00193,0.01562,0.01000,corporate,-0.00193,0.01562,0.01000,-0.00193,0.01562,0.01000,-0.11634,-0.19205,-0.17129
42,Long-lived television programs,0.00000,AE20,0.00000,0.10733,0.15015,0.13645,Intellectual Property,-0.07425,0.21212,0.17702,-0.05650,0.18921,0.15102,Intellectual Property,-0.00193,0.01562,0.01000,corporate,-0.00193,0.01562,0.01000,-0.00193,0.01562,0.01000,-0.07187,-0.12832,-0.11194
43,Books,0.00000,AE30,0.00000,0.10733,0.15015,0.13645,Intellectual Property,-0.07425,0.21212,0.17702,-0.05650,0.18921,0.15102,Intellectual Property,-0.00193,0.01562,0.01000,corporate,-0.00193,0.01562,0.01000,-0.00193,0.01562,0.01000,-0.09450,-0.16201,-0.14299
44,Music,0.00000,AE40,0.00000,0.10733,0.15015,0.13645,Intellectual Property,-0.07425,0.21212,0.17702,-0.05650,0.18921,0.15102,Intellectual Property,-0.00193,0.01562,0.01000,corporate,-0.00193,0.01562,0.01000,-0.00193,0.01562,0.01000,-0.04776,-0.08923,-0.07681
45,Other entertainment originals,0.00000,AE50,0.00000,0.10733,0.15015,0.13645,Intellectual Property,-0.07425,0.21212,0.17702,-0.05650,0.18921,0.15102,Intellectual Property,-0.00193,0.01562,0.01000,corporate,-0.00193,0.01562,0.01000,-0.00193,0.01562,0.01000,-0.10277,-0.17365,-0.15389
46,Own account software,0.00000,ENS3,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
47,Pharmaceutical and medicine manufacturing,0.00000,RD11,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
48,"Chemical manufacturing, ex. pharma and med",0.00000,RD12,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,-0.00000,-0.06844,-0.35414,-0.00000,-0.05838,Intellectual Property,-0.00952,-0.00000,-0.00305,corporate,-0.00952,-0.00000,-0.00305,-0.00952,-0.00000,-0.00305,0.00000,0.00000,0.00000
49,Computers and peripheral equipment manufacturing,0.00000,RD21,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
50,Communications equipment manufacturing,0.00000,RD22,0.00000,0.08266,0.09940,0.09404,Intellectual Property,-0.46539,0.00000,-0.06844,-0.35414,0.00000,-0.05838,Intellectual Property,-0.00952,0.00000,-0.00305,corporate,-0.00952,0.00000,-0.00305,-0.00952,0.00000,-0.00305,0.00000,0.00000,0.00000
