Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,paid_capital_surplus,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
11142,367687107.765,956968288.824,0.0,128298137.083,1835101378.14,1835101378.14,5333180903.8,-384482788.011,3855879705.68,783247106.43,110809528.287
111421,183843553.882,478484144.412,0.0,64149068.5415,917550689.072,917550689.072,2666590451.9,-192241394.006,1927939852.84,391623553.215,55404764.1436
111422,183843553.882,478484144.412,0.0,64149068.5415,917550689.072,917550689.072,2666590451.9,-192241394.006,1927939852.84,391623553.215,55404764.1436
1119,735374215.53,1913936577.65,0.0,256596274.166,3670202756.29,3670202756.29,10666361807.6,-768965576.022,7711759411.37,1566494212.86,221619056.574
11191,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
111910,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
11192,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
111920,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
11193,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
111930,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
11194,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
111940,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
11199,147074843.106,382787315.53,0.0,51319254.8332,734040551.258,734040551.258,2133272361.52,-153793115.204,1542351882.27,313298842.572,44323811.3148
111991,49024947.702,127595771.843,0.0,17106418.2777,244680183.753,244680183.753,711090787.173,-51264371.7348,514117294.091,104432947.524,14774603.7716
111992,49024947.702,127595771.843,0.0,17106418.2777,244680183.753,244680183.753,711090787.173,-51264371.7348,514117294.091,104432947.524,14774603.7716
111998,49024947.702,127595771.843,0.0,17106418.2777,244680183.753,244680183.753,711090787.173,-51264371.7348,514117294.091,104432947.524,14774603.7716
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,328494418.456,854962643.18,0.0,114622517.461,1639493328.13,1639493328.13,4764703799.82,-343499805.097,3444871834.79,699758836.522,98998063.259
1131,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
11311,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
113110,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
1132,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
11321,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
113210,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
1133,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
11331,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
113310,109498139.485,284987547.727,0.0,38207505.8204,546497776.044,546497776.044,1588234599.94,-114499935.032,1148290611.6,233252945.507,32999354.4197
114,600760510.646,1563581495.58,0.0,209625120.71,2998354899.42,2998354899.42,8713834168.98,-628202814.791,6300085621.87,1279740087.93,181050647.119
1141,300380255.323,781790747.792,0.0,104812560.355,1499177449.71,1499177449.71,4356917084.49,-314101407.396,3150042810.94,639870043.964,90525323.5596
11411,300380255.323,781790747.792,0.0,104812560.355,1499177449.71,1499177449.71,4356917084.49,-314101407.396,3150042810.94,639870043.964,90525323.5596
114111,100126751.774,260596915.931,0.0,34937520.1184,499725816.571,499725816.571,1452305694.83,-104700469.132,1050014270.31,213290014.655,30175107.8532
114112,100126751.774,260596915.931,0.0,34937520.1184,499725816.571,499725816.571,1452305694.83,-104700469.132,1050014270.31,213290014.655,30175107.8532
114119,100126751.774,260596915.931,0.0,34937520.1184,499725816.571,499725816.571,1452305694.83,-104700469.132,1050014270.31,213290014.655,30175107.8532
1142,300380255.323,781790747.792,0.0,104812560.355,1499177449.71,1499177449.71,4356917084.49,-314101407.396,3150042810.94,639870043.964,90525323.5596
11421,300380255.323,781790747.792,0.0,104812560.355,1499177449.71,1499177449.71,4356917084.49,-314101407.396,3150042810.94,639870043.964,90525323.5596
114210,300380255.323,781790747.792,0.0,104812560.355,1499177449.71,1499177449.71,4356917084.49,-314101407.396,3150042810.94,639870043.964,90525323.5596
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,556493527.207,1641235608.83,0.0,1001145036.28,6776819536.28,6776819536.28,32076601027.2,28552597500.0,23803365054.4,1498773954.65,574162972.793
211,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
2111,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
21111,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
211111,92748921.2012,273539268.138,0.0,166857506.046,1129469922.71,1129469922.71,5346100171.2,4758766250.0,3967227509.07,249795659.109,95693828.7988
211112,92748921.2012,273539268.138,0.0,166857506.046,1129469922.71,1129469922.71,5346100171.2,4758766250.0,3967227509.07,249795659.109,95693828.7988
212,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
2121,61832614.1341,182359512.092,0.0,111238337.364,752979948.475,752979948.475,3564066780.8,3172510833.33,2644818339.38,166530439.406,63795885.8659
21211,61832614.1341,182359512.092,0.0,111238337.364,752979948.475,752979948.475,3564066780.8,3172510833.33,2644818339.38,166530439.406,63795885.8659
212111,20610871.378,60786504.0307,0.0,37079445.788,250993316.158,250993316.158,1188022260.27,1057503611.11,881606113.126,55510146.4687,21265295.2886
212112,20610871.378,60786504.0307,0.0,37079445.788,250993316.158,250993316.158,1188022260.27,1057503611.11,881606113.126,55510146.4687,21265295.2886
212113,20610871.378,60786504.0307,0.0,37079445.788,250993316.158,250993316.158,1188022260.27,1057503611.11,881606113.126,55510146.4687,21265295.2886
2122,61832614.1341,182359512.092,0.0,111238337.364,752979948.475,752979948.475,3564066780.8,3172510833.33,2644818339.38,166530439.406,63795885.8659
21221,15458153.5335,45589878.023,0.0,27809584.341,188244987.119,188244987.119,891016695.2,793127708.333,661204584.845,41632609.8515,15948971.4665
212210,15458153.5335,45589878.023,0.0,27809584.341,188244987.119,188244987.119,891016695.2,793127708.333,661204584.845,41632609.8515,15948971.4665
21222,15458153.5335,45589878.023,0.0,27809584.341,188244987.119,188244987.119,891016695.2,793127708.333,661204584.845,41632609.8515,15948971.4665
212221,7729076.76677,22794939.0115,0.0,13904792.1705,94122493.5594,94122493.5594,445508347.6,396563854.167,330602292.422,20816304.9258,7974485.73323
212222,7729076.76677,22794939.0115,0.0,13904792.1705,94122493.5594,94122493.5594,445508347.6,396563854.167,330602292.422,20816304.9258,7974485.73323
21223,15458153.5335,45589878.023,0.0,27809584.341,188244987.119,188244987.119,891016695.2,793127708.333,661204584.845,41632609.8515,15948971.4665
212231,7729076.76677,22794939.0115,0.0,13904792.1705,94122493.5594,94122493.5594,445508347.6,396563854.167,330602292.422,20816304.9258,7974485.73323
212234,7729076.76677,22794939.0115,0.0,13904792.1705,94122493.5594,94122493.5594,445508347.6,396563854.167,330602292.422,20816304.9258,7974485.73323
21229,15458153.5335,45589878.023,0.0,27809584.341,188244987.119,188244987.119,891016695.2,793127708.333,661204584.845,41632609.8515,15948971.4665
212291,7729076.76677,22794939.0115,0.0,13904792.1705,94122493.5594,94122493.5594,445508347.6,396563854.167,330602292.422,20816304.9258,7974485.73323
212299,7729076.76677,22794939.0115,0.0,13904792.1705,94122493.5594,94122493.5594,445508347.6,396563854.167,330602292.422,20816304.9258,7974485.73323
2123,61832614.1341,182359512.092,0.0,111238337.364,752979948.475,752979948.475,3564066780.8,3172510833.33,2644818339.38,166530439.406,63795885.8659
21231,20610871.378,60786504.0307,0.0,37079445.788,250993316.158,250993316.158,1188022260.27,1057503611.11,881606113.126,55510146.4687,21265295.2886
212311,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212312,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212313,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212319,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
21232,20610871.378,60786504.0307,0.0,37079445.788,250993316.158,250993316.158,1188022260.27,1057503611.11,881606113.126,55510146.4687,21265295.2886
212321,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212322,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212324,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212325,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
21239,20610871.378,60786504.0307,0.0,37079445.788,250993316.158,250993316.158,1188022260.27,1057503611.11,881606113.126,55510146.4687,21265295.2886
212391,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212392,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212393,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
212399,5152717.84451,15196626.0077,0.0,9269861.447,62748329.0396,62748329.0396,297005565.067,264375902.778,220401528.282,13877536.6172,5316323.82216
213,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
2131,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
21311,185497842.402,547078536.276,0.0,333715012.092,2258939845.43,2258939845.43,10692200342.4,9517532500.0,7934455018.14,499591318.218,191387657.598
213111,37099568.4805,109415707.255,0.0,66743002.4184,451787969.085,451787969.085,2138440068.48,1903506500.0,1586891003.63,99918263.6436,38277531.5195
213112,37099568.4805,109415707.255,0.0,66743002.4184,451787969.085,451787969.085,2138440068.48,1903506500.0,1586891003.63,99918263.6436,38277531.5195
213113,37099568.4805,109415707.255,0.0,66743002.4184,451787969.085,451787969.085,2138440068.48,1903506500.0,1586891003.63,99918263.6436,38277531.5195
213114,37099568.4805,109415707.255,0.0,66743002.4184,451787969.085,451787969.085,2138440068.48,1903506500.0,1586891003.63,99918263.6436,38277531.5195
213115,37099568.4805,109415707.255,0.0,66743002.4184,451787969.085,451787969.085,2138440068.48,1903506500.0,1586891003.63,99918263.6436,38277531.5195
22,17680049.0931,173855196.372,0.0,15890565.4574,952712565.457,952712565.457,2819824549.09,1898863500.0,1513525598.19,257122918.178,63300450.9069
221,17680049.0931,173855196.372,0.0,15890565.4574,952712565.457,952712565.457,2819824549.09,1898863500.0,1513525598.19,257122918.178,63300450.9069
2211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,17680049.0931,173855196.372,0.0,15890565.4574,952712565.457,952712565.457,2819824549.09,1898863500.0,1513525598.19,257122918.178,63300450.9069
22121,17680049.0931,173855196.372,0.0,15890565.4574,952712565.457,952712565.457,2819824549.09,1898863500.0,1513525598.19,257122918.178,63300450.9069
221210,17680049.0931,173855196.372,0.0,15890565.4574,952712565.457,952712565.457,2819824549.09,1898863500.0,1513525598.19,257122918.178,63300450.9069
2213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,6729334517.62,15189328570.5,0.0,5298852023.49,35955193023.5,35955193023.5,164776150518.0,73649356000.0,116755825535.0,35653739970.6,3514360482.38
236,1731752389.7,3908879248.16,0.0,1363626615.72,9252845326.31,9252845326.31,42404117625.2,18953203755.7,30046385619.9,9175268257.83,904398815.023
2361,865876194.849,1954439624.08,0.0,681813307.862,4626422663.15,4626422663.15,21202058812.6,9476601877.86,15023192810.0,4587634128.92,452199407.512
23611,865876194.849,1954439624.08,0.0,681813307.862,4626422663.15,4626422663.15,21202058812.6,9476601877.86,15023192810.0,4587634128.92,452199407.512
236115,216469048.712,488609906.02,0.0,170453326.966,1156605665.79,1156605665.79,5300514703.15,2369150469.46,3755798202.49,1146908532.23,113049851.878
236116,216469048.712,488609906.02,0.0,170453326.966,1156605665.79,1156605665.79,5300514703.15,2369150469.46,3755798202.49,1146908532.23,113049851.878
236117,216469048.712,488609906.02,0.0,170453326.966,1156605665.79,1156605665.79,5300514703.15,2369150469.46,3755798202.49,1146908532.23,113049851.878
236118,216469048.712,488609906.02,0.0,170453326.966,1156605665.79,1156605665.79,5300514703.15,2369150469.46,3755798202.49,1146908532.23,113049851.878
2362,865876194.849,1954439624.08,0.0,681813307.862,4626422663.15,4626422663.15,21202058812.6,9476601877.86,15023192810.0,4587634128.92,452199407.512
23621,432938097.425,977219812.039,0.0,340906653.931,2313211331.58,2313211331.58,10601029406.3,4738300938.93,7511596404.98,2293817064.46,226099703.756
236210,432938097.425,977219812.039,0.0,340906653.931,2313211331.58,2313211331.58,10601029406.3,4738300938.93,7511596404.98,2293817064.46,226099703.756
