Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
52392,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
523920,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
52393,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
523930,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
52399,417309500.0,17344053250.0,1722994500.0,17625937763.8,6431118196.61,57896343388.6,25454827303.4,813867553.392,31296317750.0,15708385960.4
523991,208654750.0,8672026625.0,861497250.0,8812968881.91,3215559098.3,28948171694.3,12727413651.7,406933776.696,15648158875.0,7854192980.22
523999,208654750.0,8672026625.0,861497250.0,8812968881.91,3215559098.3,28948171694.3,12727413651.7,406933776.696,15648158875.0,7854192980.22
524,8329666.66667,26485666.6667,168095333.333,333016666.667,526019663.823,1299915674.05,1049260336.18,-297330.489174,3710801666.67,134747330.489
5241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5242,8329666.66667,26485666.6667,168095333.333,333016666.667,526019663.823,1299915674.05,1049260336.18,-297330.489174,3710801666.67,134747330.489
52421,8329666.66667,26485666.6667,168095333.333,333016666.667,526019663.823,1299915674.05,1049260336.18,-297330.489174,3710801666.67,134747330.489
