bea_inv_name,bea_code,sector_code,major_code,minor_code,minor_code_alt,notes
Other industries,5412,54,541,541915,541915,
Other industries,5500,55,551,551111,551111,
Other industries,5500,55,551,551112,551112,
Other industries,5610,56,561,561300,561300,
Other industries,5610,56,561,561500,561500,
Other industries,5610,56,561,561905,561905,
Other industries,5620,56,562,562000,562,
Other industries,6100,61,611,611000,61,
Other industries,6210,62,621,621115,621115,
Other industries,6210,62,621,621210,621210,
Other industries,6210,62,621,621315,621315,
Other industries,6210,62,621,621415,621415,
Other industries,6240,62,625,621515,625,
Other industries,622H,62,626,622005,626,* this repeated 2x because BEA codes more specific
Other industries,6230,62,626,622005,626,
Other industries,711A,71,711,711105,711,
Other industries,7130,71,713,713105,713,
Other industries,7210,72,721,721115,721,
Other industries,7220,72,722,722115,722,
Other industries,8100,81,811,811115,811115,
Other industries,8100,81,811,811215,811215,
Other industries,8100,81,812,812115,812,
Other industries,8100,81,813,813000,813,
Other industries,,90,900,900000,90,
