,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
10,10,Special industrial machinery,277678587240.9802,EI40,0.10310000000000002,0.107394,0.14910000000000004,0.13575408000000005,Equipment,-0.48048452220726784,1.1963610179150392e-16,-0.09335163757599513,-0.06252508376832304,0.11445780773072643,0.0800724280134503,Industrial Machinery,0.029720000000000003,0.05800000000000001,0.04895040000000001,corporate,-0.0018582454895945608,0.006638552848382134,0.003919577380229598,0.13282000000000002,0.16110000000000002,0.15205040000000003,1.0,1.0,1.0
11,11,General industrial equipment,476419502162.8554,EI50,0.1072,0.10739400000000002,0.14910000000000004,0.13575407999999994,Equipment,-0.4804845222072676,1.1963610179150392e-16,-0.09335163757599575,-0.06252508376832291,0.11445780773072643,0.08007242801344977,Industrial Machinery,0.029720000000000007,0.05800000000000001,0.048950399999999984,corporate,-0.0018582454895945573,0.006638552848382134,0.0039195773802295705,0.13692000000000001,0.1652,0.1561504,1.0,1.0,1.0
12,12,Office and accounting equipment,7268611167.045897,EP12,0.3119,0.10739400000000007,0.14909999999999995,0.13575407999999997,Equipment,-0.4804845222072668,-2.392722035830079e-16,-0.09335163757599543,-0.06252508376832229,0.11445780773072611,0.08007242801345003,Instruments and Communications Equipment,0.029720000000000024,0.05799999999999999,0.0489504,corporate,-0.00185824548959454,0.0066385528483821135,0.003919577380229584,0.34162000000000003,0.3699,0.3608504,1.0,1.0,1.0
13,13,Communications,498336136105.87726,EP20,0.11289999999999999,0.10739399999999996,0.1490999999999999,0.13575408000000005,Equipment,-0.48048452220726834,-3.589083053745119e-16,-0.09335163757599513,-0.0625250837683234,0.11445780773072602,0.0800724280134503,Instruments and Communications Equipment,0.029719999999999993,0.05799999999999998,0.04895040000000001,corporate,-0.0018582454895945712,0.006638552848382107,0.003919577380229598,0.14261999999999997,0.17089999999999997,0.1618504,1.0,1.0,1.0
14,14,Photocopy and related equipment,25020946205.02676,EP31,0.18,0.10739400000000007,0.1491,0.1357540799999999,Equipment,-0.4804845222072668,2.392722035830078e-16,-0.0933516375759959,-0.06252508376832229,0.11445780773072654,0.08007242801344965,Instruments and Communications Equipment,0.029720000000000024,0.05800000000000002,0.04895039999999998,corporate,-0.00185824548959454,0.006638552848382141,0.003919577380229564,0.20972000000000002,0.23800000000000002,0.22895039999999997,1.0,1.0,1.0
15,15,Nonelectro medical instruments,133227504586.31784,EP34,0.135,0.10739399999999999,0.14909999999999998,0.13575408,Equipment,-0.480484522207268,-1.1963610179150395e-16,-0.09335163757599528,-0.06252508376832316,0.11445780773072622,0.08007242801345016,Instruments and Communications Equipment,0.02972,0.057999999999999996,0.048950400000000005,corporate,-0.0018582454895945642,0.0066385528483821205,0.003919577380229591,0.16472,0.193,0.18395040000000001,1.0,1.0,1.0
16,16,Electro medical instruments,75049828223.00996,EP35,0.135,0.10739399999999996,0.1491,0.13575408000000005,Equipment,-0.48048452220726834,0.0,-0.09335163757599513,-0.0625250837683234,0.11445780773072634,0.0800724280134503,Instruments and Communications Equipment,0.029719999999999993,0.058,0.04895040000000001,corporate,-0.0018582454895945712,0.006638552848382127,0.003919577380229598,0.16472,0.193,0.18395040000000001,1.0,1.0,1.0
17,17,Nonmedical instruments,108363933017.88855,EP36,0.13499999999999998,0.10739399999999996,0.14909999999999995,0.13575407999999994,Equipment,-0.48048452220726834,-2.392722035830079e-16,-0.09335163757599575,-0.0625250837683234,0.11445780773072611,0.08007242801344977,Instruments and Communications Equipment,0.029719999999999993,0.05799999999999999,0.048950399999999984,corporate,-0.0018582454895945712,0.0066385528483821135,0.0039195773802295705,0.16471999999999998,0.19299999999999998,0.18395039999999996,1.0,1.0,1.0
18,18,Household furniture,8900871527.049185,EO11,0.13750000000000007,0.107394,0.1491,0.13575408000000005,Equipment,-0.48048452220726784,2.392722035830078e-16,-0.09335163757599513,-0.06252508376832304,0.11445780773072654,0.0800724280134503,Office and Residential Equipment,0.029720000000000003,0.05800000000000002,0.04895040000000001,corporate,-0.0018582454895945608,0.006638552848382141,0.003919577380229598,0.16722000000000006,0.1955000000000001,0.18645040000000007,1.0,1.0,1.0
19,19,Other furniture,201600171016.62607,EO12,0.11789999999999999,0.10739399999999996,0.14909999999999998,0.13575407999999997,Equipment,-0.48048452220726834,-1.1963610179150395e-16,-0.09335163757599543,-0.0625250837683234,0.11445780773072622,0.08007242801345003,Office and Residential Equipment,0.029719999999999993,0.057999999999999996,0.0489504,corporate,-0.0018582454895945712,0.0066385528483821205,0.003919577380229584,0.14761999999999997,0.1759,0.16685039999999998,1.0,1.0,1.0
20,20,Household appliances,2759304252.2440357,EO71,0.16499999999999998,0.10739399999999996,0.14909999999999995,0.13575408000000008,Equipment,-0.48048452220726817,-2.392722035830079e-16,-0.09335163757599467,-0.06252508376832328,0.11445780773072611,0.08007242801345069,Office and Residential Equipment,0.029719999999999996,0.05799999999999999,0.04895040000000003,corporate,-0.0018582454895945677,0.0066385528483821135,0.003919577380229619,0.19471999999999998,0.22299999999999998,0.2139504,1.0,1.0,1.0
21,21,Service industry machinery,100661650545.77032,EO60,0.1528,0.10739399999999999,0.14909999999999982,0.1357540799999999,Equipment,-0.480484522207268,-8.374527125405283e-16,-0.0933516375759959,-0.06252508376832316,0.11445780773072559,0.08007242801344965,Other Equipment,0.02972,0.057999999999999954,0.04895039999999998,corporate,-0.0018582454895945642,0.006638552848382079,0.003919577380229564,0.18252,0.21079999999999993,0.20175039999999997,1.0,1.0,1.0
22,22,Other electrical,16821590673.30212,EO72,0.18339999999999998,0.10739399999999996,0.14909999999999998,0.13575407999999997,Equipment,-0.48048452220726817,-1.1963610179150395e-16,-0.09335163757599543,-0.06252508376832328,0.11445780773072622,0.08007242801345003,Other Equipment,0.029719999999999996,0.057999999999999996,0.0489504,corporate,-0.0018582454895945677,0.0066385528483821205,0.003919577380229584,0.21311999999999998,0.24139999999999998,0.23235039999999998,1.0,1.0,1.0
23,23,Other,219586535061.53326,EO80,0.14729999999999996,0.10739399999999996,0.1491,0.13575408,Equipment,-0.48048452220726817,0.0,-0.09335163757599528,-0.06252508376832328,0.11445780773072634,0.08007242801345016,Other Equipment,0.029719999999999996,0.058,0.048950400000000005,corporate,-0.0018582454895945677,0.006638552848382127,0.003919577380229591,0.17701999999999996,0.20529999999999995,0.19625039999999996,1.0,1.0,1.0
24,24,Nuclear fuel,6455272412.799915,EI11,0.25,0.1073940000000001,0.1491,0.13575408000000005,Equipment,-0.4804845222072666,0.0,-0.09335163757599513,-0.06252508376832216,0.11445780773072634,0.0800724280134503,Other Industrial Equipment,0.029720000000000028,0.058,0.04895040000000001,corporate,-0.0018582454895945365,0.006638552848382127,0.003919577380229598,0.27972,0.308,0.2989504,1.0,1.0,1.0
25,25,Other fabricated metals,117546642593.84708,EI12,0.0917,0.10739399999999996,0.1490999999999999,0.13575407999999997,Equipment,-0.48048452220726817,-3.589083053745119e-16,-0.09335163757599543,-0.06252508376832328,0.11445780773072602,0.08007242801345003,Other Industrial Equipment,0.029719999999999996,0.05799999999999998,0.0489504,corporate,-0.0018582454895945677,0.006638552848382107,0.003919577380229584,0.12142,0.1497,0.1406504,1.0,1.0,1.0
26,26,Metalworking machinery,218890188220.5526,EI30,0.12249999999999997,0.10739399999999996,0.14909999999999995,0.13575407999999997,Equipment,-0.48048452220726817,-2.392722035830079e-16,-0.09335163757599543,-0.06252508376832328,0.11445780773072611,0.08007242801345003,Other Industrial Equipment,0.029719999999999996,0.05799999999999999,0.0489504,corporate,-0.0018582454895945677,0.0066385528483821135,0.003919577380229584,0.15221999999999997,0.18049999999999997,0.17145039999999998,1.0,1.0,1.0
27,27,Electric transmission and distribution,423453244425.71625,EI60,0.05,0.10739400000000003,0.14910000000000004,0.13575408000000008,Equipment,-0.4804845222072673,1.1963610179150392e-16,-0.09335163757599498,-0.06252508376832266,0.11445780773072643,0.08007242801345042,Other Industrial Equipment,0.029720000000000014,0.05800000000000001,0.04895040000000002,corporate,-0.0018582454895945504,0.006638552848382134,0.003919577380229605,0.07972000000000001,0.10800000000000001,0.09895040000000002,1.0,1.0,1.0
28,28,Farm tractors,24563500688.93158,EO21,0.14519999999999997,0.10739399999999996,0.1490999999999999,0.13575407999999997,Equipment,-0.48048452220726834,-3.589083053745119e-16,-0.09335163757599543,-0.0625250837683234,0.11445780773072602,0.08007242801345003,Other Industrial Equipment,0.029719999999999993,0.05799999999999998,0.0489504,corporate,-0.0018582454895945712,0.006638552848382107,0.003919577380229584,0.17491999999999996,0.20319999999999994,0.19415039999999997,1.0,1.0,1.0
29,29,Construction tractors,9895536359.508778,EO22,0.16329999999999997,0.10739399999999996,0.14909999999999982,0.13575408,Equipment,-0.48048452220726817,-7.178166107490241e-16,-0.09335163757599528,-0.06252508376832328,0.1144578077307257,0.08007242801345016,Other Industrial Equipment,0.029719999999999996,0.05799999999999996,0.048950400000000005,corporate,-0.0018582454895945677,0.006638552848382086,0.003919577380229591,0.19301999999999997,0.22129999999999994,0.21225039999999998,1.0,1.0,1.0
30,30,Other agricultural machinery,46750113837.50497,EO30,0.11789999999999999,0.10739399999999996,0.14909999999999998,0.13575408,Equipment,-0.48048452220726834,-1.1963610179150395e-16,-0.09335163757599528,-0.0625250837683234,0.11445780773072622,0.08007242801345016,Other Industrial Equipment,0.029719999999999993,0.057999999999999996,0.048950400000000005,corporate,-0.0018582454895945712,0.0066385528483821205,0.003919577380229591,0.14761999999999997,0.1759,0.1668504,1.0,1.0,1.0
