,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
80,Multimerchandise shopping,0.0,SC03,0.0,0.09661453914839019,0.14066249348322177,0.12597670401974875,Structures,-0.17532195071939172,0.14099332637949175,0.10951283717612506,-0.13669832620446631,0.1245148103420694,0.0937338055267567,Nonresidential Buildings,-0.0050866086244375636,0.016071078279735848,0.009106558803037262,corporate,-0.0050866086244375636,0.016071078279735848,0.009106558803037262,-0.0050866086244375636,0.016071078279735834,0.009106558803037262,0.058058027994771555,0.0,0.011737300086383573
81,Food and beverage establishments,0.0,SC04,0.0,0.0966145391483901,0.14066249348322177,0.12597670401974864,Structures,-0.17532195071939227,0.14099332637949175,0.10951283717612478,-0.13669832620446673,0.1245148103420694,0.09373380552675648,Nonresidential Buildings,-0.0050866086244375774,0.016071078279735848,0.009106558803037235,corporate,-0.0050866086244375774,0.016071078279735848,0.009106558803037235,-0.005086608624437584,0.016071078279735848,0.009106558803037235,0.058058027994771444,0.0,0.011737300086383629
82,Manufacturing,0.0,SI00,0.0,0.09820261287795093,0.1432107709904992,0.12830485905300015,Structures,-0.1430827133546,0.14460127040544374,0.11577721222712498,-0.111561429382407,0.12770107793112567,0.09909558527713191,Nonresidential Buildings,-0.004424866610393242,0.01706359142765304,0.010022073900882042,corporate,-0.004424866610393242,0.01706359142765304,0.010022073900882042,-0.004424866610393249,0.01706359142765304,0.010022073900882042,0.058058027994771444,0.0,0.011737300086383684
83,Public safety,0.0,SO03,0.0,0.09585104216302442,0.1394373600662616,0.12485739871530088,Structures,-0.19225343352730284,0.13913768336030646,0.10628514573025358,-0.1498997841537084,0.12287604456123696,0.09097117230412244,Nonresidential Buildings,-0.005404753823497345,0.015593908497083378,0.008666407313688791,corporate,-0.005404753823497345,0.015593908497083378,0.008666407313688791,-0.005404753823497352,0.015593908497083378,0.008666407313688798,0.05805802799477139,0.0,0.011737300086383629
84,Office,0.0,SOO1,0.0,0.09615644095717066,0.13992741343304574,0.12530512083708,Structures,-0.18536201779278472,0.13988972538575245,0.10759376253987901,-0.14452655511865434,0.12354019209624612,0.09209123856032952,Nonresidential Buildings,-0.005277495743873449,0.01578477641014439,0.008842467909428185,corporate,-0.005277495743873449,0.01578477641014439,0.008842467909428185,-0.005277495743873456,0.01578477641014439,0.008842467909428192,0.0580580279947715,0.0,0.011737300086383684
85,Medical buildings,0.0,SOO2,0.0,0.09615644095717071,0.13992741343304566,0.12530512083708,Structures,-0.18536201779278394,0.1398897253857523,0.10759376253987907,-0.14452655511865375,0.123540192096246,0.09209123856032958,Nonresidential Buildings,-0.005277495743873428,0.015784776410144377,0.008842467909428192,corporate,-0.005277495743873428,0.015784776410144377,0.008842467909428192,-0.005277495743873428,0.015784776410144377,0.008842467909428192,0.0580580279947715,0.0,0.01173730008638374
86,Amusement and recreation,0.0,SB42,0.0,0.09330382013318934,0.11460876315979263,0.10728939932487352,Structures,-0.5422086772520476,0.07465934662743309,0.010581264754098638,-0.4227594909237714,0.06593357731383966,0.00905667534750014,Other Structures,-0.007966824574403272,0.004679619433782346,0.0004783628691918673,corporate,-0.007966824574403272,0.004679619433782346,0.0004783628691918673,-0.007966824574403272,0.004679619433782353,0.0004783628691918673,-0.0574595348114898,-0.09875820233631527,-0.08624035868520841
87,Local transit structures,0.0,SB44,0.0,0.09585104216302442,0.13943736006626162,0.12485739871530088,Structures,-0.19225343352730284,0.1391376833603066,0.10628514573025358,-0.1498997841537084,0.12287604456123713,0.09097117230412244,Other Structures,-0.005404753823497345,0.015593908497083392,0.008666407313688791,corporate,-0.005404753823497345,0.015593908497083392,0.008666407313688791,-0.005404753823497345,0.015593908497083392,0.008666407313688798,0.0580580279947715,0.0,0.011737300086383684
88,Other land transportation,0.0,SB46,0.0,0.09149322346688402,0.10997029807665851,0.10364758158353884,Structures,-0.5953721142377192,0.053098318427132,-0.014534726463842726,-0.4642109624673978,0.046892482206156605,-0.012440507057226116,Other Structures,-0.008523931240958765,0.0032523994082026136,-0.0006421964358341928,corporate,-0.008523931240958765,0.0032523994082026136,-0.0006421964358341928,-0.008523931240958765,0.0032523994082026136,-0.0006421964358341997,-0.04213763054844111,-0.07393109338456716,-0.06414788627532841
89,Farm,0.0,SN00,0.0,0.10036097282371585,0.13354691771925528,0.12221052209350325,Structures,-0.35862614566224554,0.15336802354619866,0.10260522328821081,-0.2796203991800884,0.13544322170961035,0.08782146727017066,Other Structures,-0.005795392977318188,0.010506743913617014,0.005069477567231764,corporate,-0.005795392977318188,0.010506743913617014,0.005069477567231764,-0.005795392977318181,0.010506743913617014,0.005069477567231764,-0.1568509598149126,-0.2382481613065076,-0.21592378736792184
90,Water supply,0.0,SO01,0.0,0.09997668797216931,0.13296320972405434,0.12168150881445183,Structures,-0.36776064334480646,0.15114259478533806,0.0996108721800689,-0.2867425566669348,0.13347788868851035,0.08525855381009834,Other Structures,-0.005913634470101743,0.01032714145355517,0.004906704250600559,corporate,-0.005913634470101743,0.01032714145355517,0.004906704250600559,-0.005913634470101736,0.010327141453555178,0.004906704250600552,-0.1568509598149127,-0.23824816130650772,-0.21592378736792195
91,Sewage and waste disposal,0.0,SO02,0.0,0.09997668797216935,0.13296320972405432,0.12168150881445178,Structures,-0.36776064334480596,0.1511425947853382,0.09961087218006875,-0.2867425566669345,0.13347788868851046,0.08525855381009823,Other Structures,-0.005913634470101736,0.010327141453555178,0.004906704250600552,corporate,-0.005913634470101736,0.010327141453555178,0.004906704250600552,-0.005913634470101736,0.010327141453555178,0.004906704250600552,-0.1568509598149126,-0.2382481613065076,-0.21592378736792173
92,Highway and conservation and development,0.0,SO04,0.0,0.09762301686552419,0.1273660757914981,0.11710921806387006,Structures,-0.4257496360550147,0.129193804106447,0.07295603350392571,-0.33195650853800357,0.11409435062470152,0.06244424701975826,Other Structures,-0.006637840964454085,0.008604946397384038,0.003499845558113883,corporate,-0.006637840964454085,0.008604946397384038,0.003499845558113883,-0.006637840964454085,0.008604946397384045,0.00349984555811389,-0.1253531865577011,-0.1985169532670672,-0.1777281033178526
