Industrial sector,"Number
of returns","Business
receipts","Depreciation
deduction","Rent paid
on machinery
and
equipment","Rent paid
on other
business
property","Interest paid
deduction",Payroll,"Net income
less deficit","Number
of returns","Business
receipts","Depreciation
deduction ","Rent paid
on machinery
and
equipment","Rent paid
on other
business
property","Interest paid
deduction",Payroll,"Net income
"
   Lessors of nonfinancial intangible assets (except copyrighted works),153,2442,143,0,0,0,21,197,11,2428,143,0,0,0,21,975
"Professional, scientific, and technical services",3227617,173610221,3941949,817608,4261278,909657,15075585,76494495,2394759,160567012,2667717,635088,3552848,615175,12779526,82623253
   Legal services,354415,40067658,487910,188954,1785435,271183,4817436,17412308,290049,38026763,411436,167247,1599903,194084,4343363,18024182
   Offices of certified public accountants,43829,4459072,58020,29756,181710,27210,678670,2084260,38662,4351363,55779,29631,179723,24734,666956,2100268
   Other accounting services,339655,10372519,265174,57195,345038,51432,1029339,4548054,288564,9546673,211689,52291,322828,44581,770435,4756129
"   Architectural, engineering, and related services",256852,13703529,352981,83544,274974,64326,1611972,4820344,198720,12647172,253607,55570,210031,47721,1351212,5332238
     Architectural services,108316,5516541,159917,48866,136167,23459,675881,1514431,83042,4935636,104643,29955,97844,22062,565121,1746963
     Engineering services,84018,5698240,151073,32258,118294,26066,721858,2093437,61251,5338977,115262,23919,93242,13664,592636,2307023
"     Drafting, building inspections, and geophysical surveying",51319,1928208,27430,1755,14914,9521,115308,1062730,43285,1833449,20038,1044,14709,7799,101762,1125632
     Surveying and mapping (except geophysical) services,10156,291877,8898,661,3370,4285,65203,113880,8128,287886,8890,649,3352,4116,64174,115352
     Testing laboratories,3043,268662,5663,4,2229,996,33722,35866,3013,251224,4776,4,883,80,27518,37268
   Specialized design services,243188,7284112,215532,43892,152411,50397,378610,2169191,153705,6397159,116940,29519,101529,16705,282569,2629111
   Computer systems design services,260377,11558165,259396,21769,136921,49043,1125788,5027368,189528,10126490,164285,10782,102437,13396,958696,5557193
"   Other professional, scientific, and technical services",1729301,86165166,2302937,392500,1384790,396066,5433769,40432971,1235532,79471392,1453980,290048,1036397,273953,4406297,44224131
"     Management, scientific, and technical consulting services",871559,46809003,1060912,162284,589989,215546,2283191,26047774,618869,43823835,658258,105752,458003,140422,1814055,28029190
     Scientific research and development services,42495,1203718,50579,5351,15715,6624,133288,511747,29018,1007368,19198,4282,10283,1487,76692,639538
     Advertising and related services,128110,7355100,104794,22395,139134,39039,442163,2136543,90606,6517824,86799,14549,85595,31552,347937,2422264
     Market research and public opinion polling,30621,806289,11400,20473,7287,4985,78444,278257,20592,731714,8319,10661,4945,4982,71421,345511
     Other miscellaneous services,656516,29991055,1075252,181996,632664,129871,2496683,11458650,476446,27390651,681405,154804,477571,95511,2096193,12787628
Administrative and support and waste management and remediation services,2520702,69315652,2154329,381734,735411,413974,6520480,22048434,2102839,61587391,1402030,255262,540318,288968,4902061,25084014
   Administrative and support services,2505307,67438150,2001256,368084,704992,388219,6246539,21841309,2090641,60117687,1312222,242732,513745,271324,4721650,24798674
   Waste management and remediation services,15394,1877502,153073,13651,30420,25755,273942,207125,12198,1469704,89808,12530,26573,17644,180411,285340
Educational services,708012,10877777,268724,84735,627778,58101,571101,4088697,562096,9669166,166394,63561,469932,37125,456270,4744706
Health care and social assistance,2189006,122333143,2618657,636813,5452944,864638,18220619,49670939,1831747,113814133,2200076,519993,4797069,689822,16059712,52336004
   Ambulatory health care services,1118168,100239487,2062797,512609,4719160,675286,15501509,41376560,905614,94354536,1857734,434226,4222351,579715,14070275,43171004
     Offices of physicians (except mental health specialists),188183,32888470,516949,169905,1372723,122966,4257038,15905859,150794,31205866,443188,139904,1258147,100970,3987550,16210672
"     Offices of physicians, mental health specialists",30866,3359207,40631,8522,221554,8323,232701,1871803,27581,3281441,38123,8522,208395,8037,222530,1888793
     Offices of dentists,74757,27207481,877748,86962,1115015,324906,6357291,9156089,67151,26387809,828922,80971,1065349,308565,6073627,9285815
     Offices of chiropractors,39606,5092814,124082,46695,489495,53427,571061,1802837,33890,4712669,110159,37314,450486,50650,511179,1834955
     Offices of optometrists,18015,4157566,116336,12735,273163,27241,769079,1185827,16567,3918921,112378,12230,232997,23213,697312,1199829
     Offices of mental health practitioners and social therapists,178190,9491310,137233,68008,643892,19400,884664,4596369,138975,8849470,122909,57909,542922,11629,659043,4825511
     Offices of podiatrists,8900,1519518,30074,8818,166256,6448,223966,538712,8099,1478810,29001,7021,164133,6448,216363,557061
     Outpatient care centers and  other miscellaneous health practitioners,193664,6378012,120576,67717,268278,20949,504403,2551658,153877,5672958,92810,64394,202863,13866,384043,2866388
     Medical and diagnostic laboratories,26480,1076219,20158,8112,25880,10249,106553,344381,22637,912296,12243,6083,12928,7164,91130,414660
     Home health care services,317612,7164439,47719,29640,121389,75629,1459031,2589506,252926,6227955,41057,15336,71968,47285,1136496,3187298
"     Other ambulatory health care services (including ambulance services, blood and organ banks)",41897,1904451,31291,5495,21515,5747,135723,833518,33117,1706342,26943,4541,12163,1888,91002,900021
   Hospitals,5596,672097,9399,1090,10376,3764,107754,340103,3971,615382,8122,1087,9723,3639,90581,355503
   Nursing and residential care facilities,75631,5042287,105083,19095,221019,79856,1176951,785180,58831,3947604,73337,12763,160981,49480,824044,918378
   Social assistance,989612,16379272,441379,104018,502389,105731,1434405,7169095,863331,14896611,260882,71918,404014,56987,1074813,7891119
"Arts, entertainment, and recreation",1476496,36054618,1722857,230588,1236189,260546,1898546,9149614,941464,29352185,805746,167637,763092,89659,1119520,13010934
"   Performing arts, spectator sports, and related industries",1201741,26931184,1125692,136933,719872,122019,937579,8548846,766701,22929080,576001,99511,461324,50998,532984,11452638
"   Museums, historical sites, and similar institutions",5202,67563,1230,155,1354,31,7570,38161,4098,63070,35,148,142,1,130,53690
"   Amusement, gambling, and recreation industries",269553,9055871,595935,93499,514963,138496,953397,562608,170664,6360035,229710,67978,301625,38661,586405,1504606
"Accommodation, food services, and drinking places",441877,52395083,1792418,254484,3555799,786477,9205065,2560095,273171,40334335,879998,112688,2708784,394210,6754963,5151364
   Accommodation,60029,6297283,549619,12362,204659,458991,866174,296850,31676,4057873,254114,4255,121572,205233,517875,767129
"     Travel accommodation (including hotels, motels, and bed and breakfast inns)",30363,4919490,431918,10861,154513,401787,750341,291942,19108,3204646,208483,3557,99862,191161,431827,610821
     RV (recreational vehicle) parks and recreational camps,18625,1017679,89021,789,36677,45327,53910,58795,8701,659248,35446,58,21410,5726,43000,114636
     Rooming and boarding houses,11041,360114,28679,711,13470,11876,61923,-53887,3868,193979,10184,640,300,8346,43047,41672
   Restaurants (full & limited service) and drinking places,381848,46097800,1242800,242122,3351140,327487,8338891,2263245,241494,36276461,625884,108433,2587212,188977,6237088,4384235
Other services,3116112,94728661,2520543,905367,6283906,636997,7515557,26521101,2492326,84460304,1708862,667539,5170306,434227,6077504,30842608
   Auto repair and maintenance,374888,24531295,849088,234288,1091724,275352,2681273,3066586,275912,21141933,609426,184729,813091,202974,2125700,4113017
     Automotive mechanical and electrical repair and maintenance,184765,11122481,418031,104997,585172,107406,1088574,1290605,134518,9709677,317043,90991,449698,86882,888979,1814966
     Automotive body shops,81334,7035242,167746,50103,185088,59131,961649,963926,61845,5780092,126131,36445,140312,42386,787989,1128718
"     Other auto repair and maintenance (including oil change, lubrication, and car washes)",108789,6373572,263311,79188,321463,108814,631049,812055,79549,5652164,166252,57293,223082,73706,448732,1169333
   Miscellaneous repairs,422589,14235270,406902,53065,325082,89383,1117233,3292007,319713,12320529,202282,37390,248418,63769,972016,3914831
   Personal and laundry services,2054609,52144510,1206631,615664,4754755,259234,3714547,18309113,1699932,47424313,851426,443141,4007099,161330,2977860,20583558
"   Religious, grantmaking, civic, professional and similar organizations",264026,3817587,57923,2350,112345,13029,2504,1853395,196769,3573529,45728,2279,101697,6154,1927,2231202
